,ORO,TMT,TAB,THD,TFR
2009-05-01,2.8151282322,0.06099928644,0.031602991080000004,0.01588475544,0.01351153992
2009-06-01,2.53744228068,0.07213514388,0.04291646964,0.01603894044,0.0131797338
2009-07-01,1.915779462,0.08294042868,0.05373902316,0.0159242268,0.01327717872
2009-08-01,1.70604592368,0.08581443708,0.05617391268,0.01603894044,0.01360158396
2009-09-01,1.64857562352,0.08640034008,0.05660809764,0.01603030608,0.01376193636
2009-10-01,1.59166902372,0.06442712736,0.03507647076,0.01595999772,0.01339065888
2009-11-01,1.40192526228,0.06872827212,0.03892369488,0.01615612104,0.01364722272
2009-12-01,1.26991453224,0.086158578,0.05646378048,0.01599453516,0.01370026236
2010-01-01,1.46840366688,0.07312316136,0.04480739448,0.01560475548,0.0127110114
2010-02-01,1.70916662808,0.07495364568,0.04519840764,0.01606977744,0.0136854606
2010-03-01,2.03524940088,0.08727981132,0.06033197376,0.01512739872,0.01182043884
2010-04-01,2.60702658792,0.08553073668,0.05655999192,0.01576757484,0.01320316992
2010-05-01,3.07578352536,0.08286271944,0.05345532276,0.015881055,0.01352634168
2010-06-01,3.354109653,0.07993443792,0.05075523504,0.01591682592,0.01326237696
2010-07-01,2.97034072104,0.08347452552,0.05421267948,0.01605867612,0.01320316992
2010-08-01,2.51648298852,0.08245443756,0.0526572612,0.0162634338,0.013533742560000001
2010-09-01,2.1649855938,0.09137373144,0.06147911016,0.0160105704,0.01388405088
2010-10-01,2.09894260764,0.0788563764,0.04811928828,0.01633867608,0.014398412040000001
2010-11-01,2.02016394048,0.09435011868,0.06380298648,0.01630290516,0.01424422704
2010-12-01,2.6895846378,0.0821436006,0.05242413348,0.01602660564,0.01369286148
2011-01-01,3.00866001072,0.08863047192,0.05826219432,0.01622396244,0.01414431516
2011-02-01,3.3107960028,0.0816008694,0.05416457376,0.01607717832,0.01389145176
2011-03-01,3.50307826608,0.07653620052,0.0469585836,0.01623999768,0.01333761924
2011-04-01,4.077113955,0.0866026308,0.05709285528,0.016374447,0.01313532852
2011-05-01,4.19342125116,0.08372122152,0.05430765744,0.01610554836,0.01330801572
2011-06-01,4.33570810308,0.08280474588,0.05336157828,0.0162634338,0.0131797338
2011-07-01,4.31652748908,0.0874907364,0.05782307544,0.01607347788,0.01359418308
2011-08-01,4.08101421876,0.08041302816,0.05015823072,0.01625603292,0.01399876452
2011-09-01,3.7555333842,0.06873813996,0.0395762058,0.01602660564,0.01313532852
2011-10-01,3.57191385096,0.08578113312,0.05627012412,0.01599946908,0.01351153992
2011-11-01,3.46189360236,0.07625620056,0.04656016956,0.01611664968,0.01357938132
2011-12-01,3.1393114458,0.08391487788,0.05545232688,0.01564792728,0.01281462372
2012-01-01,3.1391572608,0.08087681664,0.05066272404,0.01622396244,0.01399013016
2012-02-01,3.10804642824,0.06617126808,0.03593250588,0.01623999768,0.01399876452
2012-03-01,3.62972335812,0.08709848976,0.0565118862,0.01629550428,0.01429109928
2012-04-01,4.22114988156,0.08257778556,0.05246977224,0.01612528404,0.01398272928
2012-05-01,4.31710722468,0.06829655412,0.0379541796,0.01628316948,0.01405920504
2012-06-01,3.97883150208,0.07395576036,0.04385761488,0.01618449108,0.0139136544
