,outflow_km3
2018-02-01,0.012867987566592002
2018-03-01,0.15384989764224002
2018-04-01,0.10194603575616
2018-05-01,0.009181845294912
2018-06-01,0.0025840229662080004
2018-07-01,0.008474403848832
2018-08-01,0.007379731295423999
2018-09-01,0.0012957348591359997
2018-10-01,0.0024648749331840003
2018-11-01,0.002405300916672
2018-12-01,0.0014372231483520002
2019-01-01,0.017812630937087997
2019-02-01,0.19406235878784
2019-03-01,0.17239231028160001
2019-04-01,0.07326859355769601
2019-05-01,0.021506219960832004
2019-06-01,0.010485026906112001
2019-07-01,0.0012733946029440002
2019-08-01,0.001481903660736
2019-09-01,0.001176586826112
2019-10-01,0.0013478621235840003
2019-11-01,0.0011616933219840001
2019-12-01,0.017887098457728
2020-01-01,0.0012287140905600001
2020-02-01,0.001131906313728
2020-03-01,0.028305104595264002
2020-04-01,0.041582663525376
2020-05-01,0.006009528915648
2020-06-01,0.002405300916672
2020-07-01,0.008176533766272
2020-08-01,0.01027651784832
2020-09-01,0.0027999787760640007
2020-10-01,0.0009010569997440001
2020-11-01,0.001124459561664
2020-12-01,0.0010276517848320003
2021-01-01,0.0009978647765760001
2021-02-01,0.000982971272448
2021-03-01,0.0009680777683200001
2021-04-01,0.002040410065536
2021-05-01,0.002725511255424
2021-06-01,0.0026212567265280003
2021-07-01,0.003380825437056
2021-08-01,0.003269124156096
2021-09-01,0.001288288107072
2021-10-01,0.001467010156608
2021-11-01,0.001035098536896
2021-12-01,0.045842205705984004
2022-01-01,0.08988229741248
2022-02-01,0.024872151893760002
2022-03-01,0.00450528499872
2022-04-01,0.021439199192256002
2022-05-01,0.0024201944208000004
