"","year","GWS_ss","GWS_sy","GWS_avg"
"128",2012-08-15,-0.000369708486565253,-1.79761671607061,-0.898993212278588
"129",2012-09-15,-0.000367482914241751,-1.79279439937999,-0.896580941147116
"130",2012-10-15,-0.000346044008574334,-1.67468216636088,-0.837514105184727
"131",2012-11-15,-0.000331489562645237,-1.60568682659293,-0.803009158077788
"132",2012-12-15,-0.00032123413650306,-1.59344357039764,-0.796882402267072
"133",2013-01-15,-0.00028562527150579,-1.42264397270165,-0.711464798986578
"134",2013-02-15,-0.000314228543695669,-1.6072115865152,-0.803762907529448
"135",2013-03-15,-0.000307451021922848,-1.55665230536238,-0.778479878192151
"136",2013-04-15,-0.000307313296689193,-1.52493148498302,-0.762619399139855
"137",2013-05-15,-0.000314980627832232,-1.5623609068632,-0.781337943745516
"138",2013-06-15,-0.000297562566472207,-1.4443217901174,-0.722309676341936
"139",2013-07-15,-0.000323062768680629,-1.59688245732672,-0.7986027600477
"140",2013-08-15,-0.0003329374703833,-1.63633843575008,-0.818335686610232
"141",2013-09-15,-0.000337856179375785,-1.65631699588615,-0.828327426032763
"142",2013-10-15,-0.000315545659997498,-1.53448947306124,-0.767402509360619
"143",2013-11-15,-0.000284624625961845,-1.37176662797409,-0.686025626300026
"144",2013-12-15,-0.000257425233114964,-1.23528529829384,-0.617771361763477
"145",2014-01-15,-0.000237816676546342,-1.09905819970493,-0.549648008190738
"146",2014-02-15,-0.000291708420171203,-1.36111814022414,-0.680704924322156
"147",2014-03-15,-0.000302530644941475,-1.3628523542419,-0.681577442443421
"148",2014-04-15,-0.0003182677338099,-1.39520807278778,-0.697763170260795
"149",2014-05-15,-0.000320758271390218,-1.3585232531481,-0.679422005709745
"150",2014-06-15,-0.000330638649381283,-1.37544373468232,-0.687887186665851
"151",2014-07-15,-0.00035961177255436,-1.54855716335194,-0.774458387562247
"152",2014-08-15,-0.000383024343714819,-1.69975170816073,-0.850067366252222
"153",2014-09-15,-0.00038579486949536,-1.75940387930394,-0.879894837086718
"154",2014-10-15,-0.000339146482813555,-1.57170033296795,-0.786019739725382
"155",2014-11-15,-0.000310689260093868,-1.45455393876413,-0.727432314012112
"156",2014-12-15,-0.000283145423898903,-1.34248476963126,-0.67138395752758
"157",2015-01-15,-0.000270231405511106,-1.29143417922033,-0.645852205312921
"158",2015-02-15,-0.000277408218286403,-1.33458977299527,-0.667433590606778
"159",2015-03-15,-0.000278999602516945,-1.30364348393676,-0.651961241769639
"160",2015-04-15,-0.000281810845615136,-1.27805618950939,-0.639169000177503
"161",2015-05-15,-0.000287182343792606,-1.26170079693994,-0.630993989641866
"162",2015-06-15,-0.000293599307766143,-1.24589031976731,-0.623091959537538
"163",2015-07-15,-0.000323933260745242,-1.42961589991633,-0.714969916588538
"164",2015-08-15,-0.000350821822052629,-1.58805864972986,-0.794204735775956
"165",2015-09-15,-0.000361078715518749,-1.65595604321781,-0.828158560966664
"166",2015-10-15,-0.000355393576007093,-1.65674341253761,-0.828549403056808
"167",2015-11-15,-0.000326921119074769,-1.52623746294754,-0.763282192033307
"168",2015-12-15,-0.000299164545087293,-1.39756604826912,-0.698932606407104
"169",2016-01-15,-0.000277317588848608,-1.29888792684293,-0.649582622215889
"170",2016-02-15,-0.000264373142168742,-1.25392957779828,-0.627096975470224
"171",2016-03-15,-0.000243282023090852,-1.12047150866647,-0.56035739534478
"172",2016-04-15,-0.000223758786864247,-0.982386600651331,-0.491305179719098
"173",2016-05-15,-0.00021845738525712,-0.941855448939148,-0.471036953162203
"174",2016-06-15,-0.000209137769502053,-0.870728592287514,-0.435468865028508
"175",2016-07-15,-0.000237796507471017,-1.04800251163166,-0.524120154069565
"176",2016-08-15,-0.000251214750365361,-1.13644429736302,-0.568347756056693
"177",2016-09-15,-0.000284217636259879,-1.33501999429254,-0.6676521059644
"178",2016-10-15,-0.000263919354027368,-1.25762351373228,-0.628943716543154
"179",2016-11-15,-0.000241527366970307,-1.13873843668189,-0.56948998202443
"180",2016-12-15,-0.000221714958678229,-1.10298898358053,-0.551605349269604
"181",2017-01-15,-0.000220867762731796,-1.15535778810452,-0.577789327933626
"182",2017-02-15,-0.000221967732587742,-1.19964480389989,-0.599933385816239
"183",2017-03-15,-0.000192600449130607,-1.02657534036554,-0.513383970407335
"184",2017-04-15,-0.000180699261179852,-0.938349187675313,-0.469264943468246
"185",2017-05-15,-0.000166846011385713,-0.865695391346121,-0.432931118678753
"186",2017-06-15,-0.000182638050106752,-0.909025577746598,-0.454604107898352
"187",2017-07-15,-0.000224354515575743,-1.14964192008157,-0.574933137298573
"188",2017-08-15,-0.000255927700205403,-1.28863782430496,-0.644446876002583
"189",2017-09-15,-0.000275245160486021,-1.36821135472474,-0.684243299942613
"190",2017-10-15,-0.000290718598966531,-1.42692834418845,-0.713609531393708
"191",2017-11-15,-0.000286497824639288,-1.39346076337372,-0.69687363059918
"192",2017-12-15,-0.000310695706377402,-1.54631714148043,-0.773313918593404
"193",2018-01-15,-0.000307980880943681,-1.5505058041904,-0.775406892535672
"194",2018-02-15,-0.000355613485114516,-1.82518562703268,-0.912770620258897
"195",2018-03-15,-0.000356657809651025,-1.80379661255258,-0.902076635181115
"196",2018-04-15,-0.000357715252202756,-1.78007613508271,-0.890216925167456
"197",2018-05-15,-0.000358919539769142,-1.765980760165,-0.883169839852385
"198",2018-06-15,-0.00034171138283374,-1.64153054901497,-0.820936130198902
"199",2018-07-15,-0.000359994777746584,-1.76989138001756,-0.885125687397653
"200",2018-08-15,-0.000337298534555387,-1.63537736024407,-0.817857329389313
"201",2018-09-15,-0.000341098716151982,-1.64293857032821,-0.821639834522181
"202",2018-10-15,-0.000297421761497135,-1.44270205547305,-0.721499738617274
"203",2018-11-15,-0.000252896432575943,-1.22520605842817,-0.612729477430373
"204",2018-12-15,-0.000241192851665642,-1.20345125036421,-0.601846221607938
"205",2019-01-15,-0.000220554472715332,-1.11052159903232,-0.555371076752518
"206",2019-02-15,-0.000204389873111793,-1.06782691065541,-0.534015650264261
"207",2019-03-15,-0.000196068083803408,-0.989049588140225,-0.494622828112014
"208",2019-04-15,-0.000189107840048915,-0.958909282953354,-0.479549195396701
"209",2019-05-15,-0.000203968750368244,-1.01367863901531,-0.506941303882839
"210",2019-06-15,-0.000197586067491559,-0.928136335053388,-0.46416696056044
"211",2019-07-15,-0.00024286820527886,-1.17545899833426,-0.587850933269769
"212",2019-08-15,-0.000254970361369958,-1.22514206758684,-0.612698518974105
"213",2019-09-15,NA,NA,NA
"214",2019-10-15,NA,NA,NA
"215",2019-11-15,NA,NA,NA
"216",2019-12-15,NA,NA,NA
